job name,company name,workarea,salary,update time
数据分析实习生,上海涓海贸易有限公司,上海,6-8千/月,2021-04-25 09:43:18
数据分析师,上海高登联合建设发展有限公司,上海-青浦区,6-8千/月,2021-04-25 09:39:56
样本标注实习生-成都,中建材信息技术股份有限公司,异地招聘,2-4千/月,2021-04-25 09:37:05
数据分析师助理,北京联科数信科技有限公司,北京-丰台区,4-7千/月,2021-04-25 09:37:01
技术部门实习生,真珍斑马技术贸易（上海）有限公司,上海-静安区,200元/天,2021-04-25 09:33:56
数据分析助理（2020/2021应届毕业生),引力传媒股份有限公司,上海-长宁区,6-9千/月,2021-04-25 09:33:07
算法工程师（带户口）,中国安全生产科学研究院,北京-朝阳区,2-2.5万/月,2021-04-25 09:26:57
Data Science Intern,德高上海,上海,2-3千/月,2021-04-25 09:25:33
数据分析实习生,上海意臣信息科技有限公司,上海-徐汇区,4.5-6千/月,2021-04-25 09:21:17
数据分析实习生（python培训生）,数行科技（上海）有限公司,上海-浦东新区,3-4.5千/月,2021-04-25 09:20:36
深度学习实习生（博士在读）,思凯迈人工智能科技有限责任公司,上海-浦东新区,1.5-2万/月,2021-04-25 09:20:03
数据分析师/助理,上海垚帆网络科技有限公司,上海-宝山区,4-6千/月,2021-04-25 09:13:03
AI算法实习生,东软医疗系统股份有限公司,北京-海淀区,3-6千/月,2021-04-25 09:02:08
国贸交易分析师,嘉诺恒盛（北京）教育科技有限公司,北京-朝阳区,20-30万/年,2021-04-25 09:00:20
数字分析专员,上海锐澳（RIO）酒业营销有限公司,上海,0.6-1万/月,2021-04-25 08:59:00
系统专员,北京永华晴天科技发展有限公司,北京-房山区,4.5-6千/月,2021-04-25 08:50:28
分析师实习生（数据运营部）,华住酒店管理有限公司,上海-闵行区,2-4千/月,2021-04-25 08:49:49
数据分析工程师（实习）,上海迈科迪信投资管理有限公司,上海-浦东新区,2-3千/月,2021-04-25 08:46:49
数字化实习生,上海老城隍庙餐饮（集团）有限公司,上海-黄浦区,120元/天,2021-04-25 08:43:03
数据分析实习生,伺动营销科技(上海)有限公司,上海-静安区,200元/天,2021-04-25 08:32:33
技术新星-算法工程师 (MJ002648),神州数码信息服务股份有限公司,北京,1.5-2万/月,2021-04-25 07:05:17
数据分析工程师（成都） (MJ002594),神州数码信息服务股份有限公司,异地招聘,0.7-1.2万/月,2021-04-25 07:05:10
大数据开发工程师（北京） (MJ003272),神州数码信息服务股份有限公司,北京-海淀区,1.5千以下/月,2021-04-25 07:05:09
机器视觉实习工程师（江苏昆山）,苏州昀冢电子科技股份有限公司,上海,0.5-1.2万/月,2021-04-25 04:53:46
人工智能工程师,昆仑数智科技有限责任公司,北京,0.8-1万/月,2021-04-25 04:53:14
经营管理储备干部,亚士漆（上海）有限公司,上海,1-1.5万/月,2021-04-25 04:52:09
大数据工程师,金光纸业（中国）投资有限公司,上海,0.8-1万/月,2021-04-25 04:51:09
科技与信息安全营运部主任,华侨永亨银行（中国）有限公司,上海,0.8-1万/月,2021-04-25 04:48:34
科技与信息安全岗,华侨永亨银行（中国）有限公司,上海,0.8-1万/月,2021-04-25 04:48:32
大数据,上海宝信软件股份有限公司,上海,1-1.5万/月,2021-04-25 04:48:02
经营分析,中体彩彩票运营管理有限公司,北京,0.9-1.5万/月,2021-04-25 04:46:59
量化分析,中体彩彩票运营管理有限公司,北京,0.9-1.5万/月,2021-04-25 04:46:58
数据分析实习生,上海耀华教育管理有限公司,上海-长宁区,200元/天,2021-04-25 04:02:17
数据分析师,北京博信高科技术有限公司,北京-通州区,3.5-5千/月,2021-04-25 04:02:17
Data Analyst数据分析师,高沃信息技术（上海）有限公司,上海,1.5-2万/月,2021-04-25 04:01:31
博士后（bst）,航天宏图信息技术股份有限公司,北京-海淀区,1.5-3万/月,2021-04-25 04:01:31
客户分析岗（北京）,合众人寿保险股份有限公司,北京,,2021-04-25 04:01:31
人力数据分析师（校招）,泰康在线财产保险股份有限公司,北京-昌平区,0.8-1.5万/月,2021-04-25 04:01:31
